id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17777795,"Luxurious 3BR & 3 Bath with Spa,wifi &20min to CBD",121291785,Shreyash,,Wyndham,-37.860351243288,144.75507565936005,Entire home/apt,229,1,0,,,1,52
17945026,Cozy new two bedrooms 25 min to Melbourne CBD,109788769,Mia,,Wyndham,-37.857860051731,144.74651615680372,Private room,130,1,0,,,6,350
7847695,Watching ships on Port Phillip bay,41353275,Helen,,Wyndham,-37.96640112145295,144.70460149517663,Entire home/apt,190,2,2,2017-03-04,0.86,1,356
17593320,**A brand new house** in a park view location,119546632,Leon,,Wyndham,-37.90163879292179,144.6159824724856,Entire home/apt,149,2,0,,,1,311
13779109,BATES MOTEL,80896463,Peter,,Wyndham,-37.87967647395882,144.69071887231522,Private room,41,1,0,,,1,0
13515320,"1 Single rooms available,Common Kitchn and Laundry",77609323,Aditya,,Wyndham,-37.88854222630259,144.72024696764993,Private room,43,2,2,2016-12-25,0.26,1,362
16071598,Melbourne luxury house 5 BRM,22965385,Lucy & Yong,,Wyndham,-37.89995959752594,144.76969065211333,Entire home/apt,300,3,0,,,1,162
15514629,Charming and full of character Room 1,99698806,Anthony,,Wyndham,-37.89770497044927,144.62503559801812,Private room,29,2,7,2017-03-02,2.14,2,337
1621193,Private EnSuite room4 in Point Cook,8623584,Michael,,Wyndham,-37.90037243518967,144.74153548429263,Private room,50,3,10,2016-12-23,0.35,4,180
363060,SUNLIT Kitchen/Vegie Garden/CLEAN,1835097,Rovielle,,Wyndham,-37.84545379982072,144.716379923007,Private room,69,3,0,,,1,365
4617499,Private room in 3 bedroom house,23920294,Brydie,,Wyndham,-37.89519985747486,144.6164232650192,Private room,35,1,3,2016-10-21,0.28,2,306
4601119,Twin bed with parking,10857350,Lyn,,Wyndham,-37.892982628816696,144.66776025153007,Private room,55,1,18,2017-02-08,0.68,4,362
12138041,Luxury Celebrity Style House,65159547,Karan,,Wyndham,-37.85578768976434,144.73766350054606,Private room,2000,1,0,,,1,365
17769903,Luxurious Home with 4 Rooms +WIFI. Room No. 2,63276696,Bobby,,Wyndham,-37.9098331473009,144.75965874879657,Private room,51,1,1,2017-03-19,1,4,176
15087210,Tranquility,25039556,Juliet,,Wyndham,-37.88042670937006,144.7427503213102,Private room,329,2,0,,,1,89
16692924,20kms Southwest Melbourne CBD Clean & Comfortable,36204938,Maria Loida,,Wyndham,-37.85594991094714,144.74683910120757,Private room,80,1,0,,,2,357
7266440,"Friendly host - Large, Comfy Room",38047748,B,,Wyndham,-37.839415472712304,144.665272556785,Private room,39,2,7,2017-03-17,0.41,1,176
2150936,Queen bed downstairs with parking,10857350,Lyn,,Wyndham,-37.89298019194878,144.66623790073015,Private room,50,1,28,2017-03-28,0.77,4,307
5816622,Queen room with shared toilet and bath,1360067,Sharmaine And Justice,,Wyndham,-37.9093186225293,144.77445824684025,Private room,48,14,3,2017-02-28,0.17,1,181
17482045,"This place is very closed to super market, parks",48194563,Hemant,,Wyndham,-37.91205368362542,144.73624255096695,Private room,50,1,0,,,1,0
15993573,GRASSBIRD LODGE 118 - MELBOURNE,15651267,Serviced Houses Australia Hosted By,,Wyndham,-37.90508824944315,144.72133647800058,Entire home/apt,245,2,0,,,46,311
10286517,"Styleline House, Melbourne",28902941,Novia,,Wyndham,-37.866064806578926,144.72114899055381,Private room,60,2,3,2017-03-17,0.21,1,365
16605735,Holiday By the Water--House Two,108377237,Jin,,Wyndham,-37.895302440362464,144.74456497406686,Entire home/apt,149,2,11,2017-03-25,3.98,2,148
16893048,Quiet Room in a Cul De Sac,101515935,Kristine,,Wyndham,-37.89868158694737,144.6333843548097,Private room,45,1,4,2017-04-01,4,1,90
5338395,new bedroom with own toilet/bath,27665334,琪羚,,Wyndham,-37.9055800956511,144.73194592128695,Private room,100,1,0,,,2,365
13354897,Brand new luxurious house,74101644,Claire,,Wyndham,-37.84012833482201,144.71510667954126,Entire home/apt,75,1,13,2017-03-19,1.32,2,329
10438565,Exec Room Close to CBD/Country WIFI,46736077,Maki And Roy,,Wyndham,-37.8537882825806,144.70884464703417,Private room,48,2,18,2017-03-26,1.26,2,172
12469746,"Spacious, Clean and Cosy house with carpet",67487614,Mahesh,,Wyndham,-37.891787922717285,144.73303142741105,Private room,51,1,3,2017-03-07,1.01,2,365
7063167,NEW WAVES VILLA - MELBOURNE 4 Bdrm,15651267,Serviced Houses Australia Hosted By,,Wyndham,-37.91517161540865,144.78063601135116,Entire home/apt,180,2,1,2016-12-29,0.31,46,190
13159453,Amazing View from two story home,73481938,Alana,,Wyndham,-37.909225442189104,144.7316324623133,Private room,80,1,0,,,1,365
17909857,"""A serene room for a serene stay""",114775952,Mannat And Nitin,,Wyndham,-37.8936512931866,144.65762313231133,Private room,62,1,0,,,3,365
